file,column,description
benchmark_vs_weo.csv,ours_change_pp,"Our change since base_year, signed so revenue and expenditure sum to the change in the balance."
benchmark_vs_weo.csv,weo_change_pp,"The WEO's change since base_year, signed the same way. On the wedge row, the WEO's own change in (GGR - GGX - GGXCNL)/NGDP."
benchmark_vs_weo.csv,change_gap_pp,"ours_change_pp - weo_change_pp, and -wedge on the wedge row, so revenue + expenditure + wedge equal the balance row exactly."
benchmark_vs_weo.csv,se,The benchmark balance's standard error (balance rows).
benchmark_vs_weo.csv,lo80,Benchmark 80% lower bound.
benchmark_vs_weo.csv,hi80,Benchmark 80% upper bound.
benchmark_vs_weo.csv,lo95,Benchmark 95% lower bound.
benchmark_vs_weo.csv,hi95,Benchmark 95% upper bound.
benchmark_vs_weo.csv,weo_inside_80,Whether the WEO's projection falls inside the benchmark's 80% interval that year.
benchmark_vs_weo.csv,weo_inside_95,The same for the 95% interval.
benchmark_vs_weo.csv,weo_z,"How many of the benchmark's own standard errors the WEO sits away from it, signed: positive means the WEO is the smaller deficit."
benchmark_vs_weo.csv,perimeter_gap_pp,"Base-year difference between our total and the WEO's on that side, in pp of GDP. Large on the UK's two sides, and it cancels in the balance."
benchmark_vs_weo.csv,perimeter_gap_sd_pp,Standard deviation of that gap over the last ten overlap years — how safe it is to treat it as cancelling in a change.
benchmark_vs_weo.csv,perimeter_classification,"How §8.2 classified the history gap: perimeter, revision or unexplained."
benchmark_vs_weo.csv,run_id,Run that produced the comparison.
data_dictionary.csv,file,Flat file the column belongs to.
data_dictionary.csv,column,"Name of the column, as it appears in that file's header."
data_dictionary.csv,description,What the column holds.
strict_GBR.csv,year,Calendar year. One row per year from the country's first published year to the last year any strict series reaches.
strict_GBR.csv,GDP - Gross domestic product at current market prices,"Gross domestic product at current market prices, from the country's registered GDP source. Divide by it for ratios."
strict_GBR.csv,GF01 - General public services,"General public services (GF01), strict variant, millions of national currency."
strict_GBR.csv,GF01_7 - Public debt transactions (interest),"Public debt transactions (interest) (GF01_7), strict variant, millions of national currency."
strict_GBR.csv,GF01_X - General public services excluding interest,"General public services excluding interest (GF01_X): the identity GF01 - GF01_7, never forecast (D10)."
strict_GBR.csv,GF02 - Defence,"Defence (GF02), strict variant, millions of national currency."
strict_GBR.csv,GF03 - Public order and safety,"Public order and safety (GF03), strict variant, millions of national currency."
strict_GBR.csv,GF04 - Economic affairs,"Economic affairs (GF04), strict variant, millions of national currency."
strict_GBR.csv,GF04_5 - Transport,Transport (GF04_5): COFOG group 04.5 from the anchor's own Level II table.
strict_GBR.csv,GF04_X - Economic affairs excluding transport,"Economic affairs excluding transport (GF04_X): the identity GF04 - GF04_5, never forecast."
strict_GBR.csv,GF05 - Environmental protection,"Environmental protection (GF05), strict variant, millions of national currency."
strict_GBR.csv,GF06 - Housing and community amenities,"Housing and community amenities (GF06), strict variant, millions of national currency."
strict_GBR.csv,GF07 - Health,"Health (GF07), strict variant, millions of national currency."
strict_GBR.csv,GF08 - Recreation culture and religion,"Recreation culture and religion (GF08), strict variant, millions of national currency."
strict_GBR.csv,GF09 - Education,"Education (GF09), strict variant, millions of national currency."
strict_GBR.csv,GF10 - Social protection,"Social protection (GF10), strict variant, millions of national currency."
strict_GBR.csv,GF10_2 - Old age (pensions),Old age (GF10_2): COFOG group 10.2 from the anchor's own Level II table — the pensions line (old-age cash benefits plus the administration and in-kind services of the function).
strict_GBR.csv,GF10_5 - Unemployment,"Unemployment (GF10_5): COFOG group 10.5 from the anchor's own Level II table — unemployment benefits and services. Note the UK books Universal Credit under 10.7, so its 10.5 is small."
strict_GBR.csv,GF10_X - Social protection excluding old age and unemployment,"Social protection excluding old age and unemployment (GF10_X): the identity GF10 - GF10_2 - GF10_5, never forecast."
strict_GBR.csv,TE - Total expenditure,Total expenditure (TE) from the COFOG tree's expenditure anchor. Not the same series as LEDGER_TE — see that column.
strict_GBR.csv,E01 - Compensation of employees,"Compensation of employees (E01), strict variant, millions of national currency."
strict_GBR.csv,E02 - Intermediate consumption,"Intermediate consumption (E02), strict variant, millions of national currency."
strict_GBR.csv,E03 - Social benefits other than social transfers in kind,"Social benefits other than social transfers in kind (E03, ESA D.62): cash benefits — pensions, unemployment, family, sickness and other benefits — across every function. The economic-type counterpart of the COFOG GF10 line."
strict_GBR.csv,E04 - Social transfers in kind (purchased market production),"Social transfers in kind (purchased market production) (E04), strict variant, millions of national currency."
strict_GBR.csv,E05 - Interest payable,"Interest payable (E05, ESA D.41 uses): the economic-type counterpart of GF01_7 (COFOG 01.7); the two differ by FISIM and consolidation treatment (V21)."
strict_GBR.csv,E06 - Subsidies,"Subsidies (E06), strict variant, millions of national currency."
strict_GBR.csv,E07 - Other current expenditure,"Other current expenditure (E07), strict variant, millions of national currency."
strict_GBR.csv,E08 - Gross capital formation and net acquisition of non-produced assets,"Gross capital formation and net acquisition of non-produced assets (E08), strict variant, millions of national currency."
strict_GBR.csv,E09 - Capital transfers payable,"Capital transfers payable (E09), strict variant, millions of national currency."
strict_GBR.csv,TE_ESA - Total expenditure (ESA main aggregates),"Total expenditure from the ESA main-aggregates table (the sum of E01-E09). For FRA/DEU identical to TE; for GBR it is the ESA Table 2 total, the same series as LEDGER_TE."
strict_GBR.csv,R01 - Value added tax,"Value added tax (R01), strict variant, millions of national currency."
strict_GBR.csv,R02 - Other taxes on production and imports,"Other taxes on production and imports (R02), strict variant, millions of national currency."
strict_GBR.csv,R02_A - Excise duties,"Excise duties (R02_A, ESA D.214A): fuel, tobacco, alcohol and other excises, from the anchor institution's per-tax table (NTL table 9 / gov_10a_taxag)."
strict_GBR.csv,R02_X - Other taxes on production and imports excluding excise duties,"Other taxes on production and imports excluding excise duties (R02_X): the identity R02 - R02_A, never forecast; carries any drift between the per-tax table and the main aggregate."
strict_GBR.csv,R03 - Taxes on household income,"Taxes on household income (R03), strict variant, millions of national currency."
strict_GBR.csv,R04 - Taxes on corporate income,"Taxes on corporate income (R04), strict variant, millions of national currency."
strict_GBR.csv,R05 - Other current taxes and capital taxes,"Other current taxes and capital taxes (R05), strict variant, millions of national currency."
strict_GBR.csv,R06 - Net social contributions,"Net social contributions (R06), strict variant, millions of national currency."
strict_GBR.csv,R06_E - Employers' actual social contributions,"Employers' actual social contributions (R06_E, ESA D.611)."
strict_GBR.csv,R06_H - Households' actual social contributions,"Households' actual social contributions (R06_H, ESA D.613): employees, self-employed and non-employed persons."
strict_GBR.csv,R06_X - Imputed and supplementary social contributions (D.612 + D.614 - D.61SC),"Imputed and supplementary social contributions (R06_X): the identity R06 - R06_E - R06_H = D.612 + D.614 - D.61SC, never forecast; may be negative in principle."
strict_GBR.csv,R07 - Interest receivable,"Interest receivable (R07), strict variant, millions of national currency."
strict_GBR.csv,R08 - Other property income,"Other property income (R08), strict variant, millions of national currency."
strict_GBR.csv,R09 - Sales of goods and services,"Sales of goods and services (R09), strict variant, millions of national currency."
strict_GBR.csv,R10 - Other current and capital transfers receivable,"Other current and capital transfers receivable (R10), strict variant, millions of national currency."
strict_GBR.csv,TR - Total revenue,Total revenue (TR) from the ESA tree's revenue anchor. Not the same series as LEDGER_TR — see that column.
strict_GBR.csv,LEDGER_TR - Total revenue (balance anchor),Total revenue as published by the balance anchor. For GBR this is a different ONS table from the TR column and the two differ by up to ~0.5%; for FRA/DEU they agree to rounding. Outturn years only.
strict_GBR.csv,LEDGER_TE - Total expenditure (balance anchor),Total expenditure as published by the balance anchor. Same caveat as LEDGER_TR against the TE column.
strict_GBR.csv,NLB - Net lending (+) / net borrowing (-),Net lending (+) / net borrowing (-) = LEDGER_TR - LEDGER_TE (ESA B.9). Outturn years only.
strict_GBR.csv,NI - Net interest (GF01_7 - R07),Net interest = GF01_7 - R07. Blank where one leg has no value.
strict_GBR.csv,PB - Primary balance (NLB + NI),Primary balance = NLB + NI. Outturn years only.
strict_FRA.csv,year,Calendar year. One row per year from the country's first published year to the last year any strict series reaches.
strict_FRA.csv,GDP - Gross domestic product at current market prices,"Gross domestic product at current market prices, from the country's registered GDP source. Divide by it for ratios."
strict_FRA.csv,GF01 - General public services,"General public services (GF01), strict variant, millions of national currency."
strict_FRA.csv,GF01_7 - Public debt transactions (interest),"Public debt transactions (interest) (GF01_7), strict variant, millions of national currency."
strict_FRA.csv,GF01_X - General public services excluding interest,"General public services excluding interest (GF01_X): the identity GF01 - GF01_7, never forecast (D10)."
strict_FRA.csv,GF02 - Defence,"Defence (GF02), strict variant, millions of national currency."
strict_FRA.csv,GF03 - Public order and safety,"Public order and safety (GF03), strict variant, millions of national currency."
strict_FRA.csv,GF04 - Economic affairs,"Economic affairs (GF04), strict variant, millions of national currency."
strict_FRA.csv,GF04_5 - Transport,Transport (GF04_5): COFOG group 04.5 from the anchor's own Level II table.
strict_FRA.csv,GF04_X - Economic affairs excluding transport,"Economic affairs excluding transport (GF04_X): the identity GF04 - GF04_5, never forecast."
strict_FRA.csv,GF05 - Environmental protection,"Environmental protection (GF05), strict variant, millions of national currency."
strict_FRA.csv,GF06 - Housing and community amenities,"Housing and community amenities (GF06), strict variant, millions of national currency."
strict_FRA.csv,GF07 - Health,"Health (GF07), strict variant, millions of national currency."
strict_FRA.csv,GF08 - Recreation culture and religion,"Recreation culture and religion (GF08), strict variant, millions of national currency."
strict_FRA.csv,GF09 - Education,"Education (GF09), strict variant, millions of national currency."
strict_FRA.csv,GF10 - Social protection,"Social protection (GF10), strict variant, millions of national currency."
strict_FRA.csv,GF10_2 - Old age (pensions),Old age (GF10_2): COFOG group 10.2 from the anchor's own Level II table — the pensions line (old-age cash benefits plus the administration and in-kind services of the function).
strict_FRA.csv,GF10_5 - Unemployment,"Unemployment (GF10_5): COFOG group 10.5 from the anchor's own Level II table — unemployment benefits and services. Note the UK books Universal Credit under 10.7, so its 10.5 is small."
strict_FRA.csv,GF10_X - Social protection excluding old age and unemployment,"Social protection excluding old age and unemployment (GF10_X): the identity GF10 - GF10_2 - GF10_5, never forecast."
strict_FRA.csv,TE - Total expenditure,Total expenditure (TE) from the COFOG tree's expenditure anchor. Not the same series as LEDGER_TE — see that column.
strict_FRA.csv,E01 - Compensation of employees,"Compensation of employees (E01), strict variant, millions of national currency."
strict_FRA.csv,E02 - Intermediate consumption,"Intermediate consumption (E02), strict variant, millions of national currency."
strict_FRA.csv,E03 - Social benefits other than social transfers in kind,"Social benefits other than social transfers in kind (E03, ESA D.62): cash benefits — pensions, unemployment, family, sickness and other benefits — across every function. The economic-type counterpart of the COFOG GF10 line."
strict_FRA.csv,E04 - Social transfers in kind (purchased market production),"Social transfers in kind (purchased market production) (E04), strict variant, millions of national currency."
strict_FRA.csv,E05 - Interest payable,"Interest payable (E05, ESA D.41 uses): the economic-type counterpart of GF01_7 (COFOG 01.7); the two differ by FISIM and consolidation treatment (V21)."
strict_FRA.csv,E06 - Subsidies,"Subsidies (E06), strict variant, millions of national currency."
strict_FRA.csv,E07 - Other current expenditure,"Other current expenditure (E07), strict variant, millions of national currency."
strict_FRA.csv,E08 - Gross capital formation and net acquisition of non-produced assets,"Gross capital formation and net acquisition of non-produced assets (E08), strict variant, millions of national currency."
strict_FRA.csv,E09 - Capital transfers payable,"Capital transfers payable (E09), strict variant, millions of national currency."
strict_FRA.csv,TE_ESA - Total expenditure (ESA main aggregates),"Total expenditure from the ESA main-aggregates table (the sum of E01-E09). For FRA/DEU identical to TE; for GBR it is the ESA Table 2 total, the same series as LEDGER_TE."
strict_FRA.csv,R01 - Value added tax,"Value added tax (R01), strict variant, millions of national currency."
strict_FRA.csv,R02 - Other taxes on production and imports,"Other taxes on production and imports (R02), strict variant, millions of national currency."
strict_FRA.csv,R02_A - Excise duties,"Excise duties (R02_A, ESA D.214A): fuel, tobacco, alcohol and other excises, from the anchor institution's per-tax table (NTL table 9 / gov_10a_taxag)."
strict_FRA.csv,R02_X - Other taxes on production and imports excluding excise duties,"Other taxes on production and imports excluding excise duties (R02_X): the identity R02 - R02_A, never forecast; carries any drift between the per-tax table and the main aggregate."
strict_FRA.csv,R03 - Taxes on household income,"Taxes on household income (R03), strict variant, millions of national currency."
strict_FRA.csv,R04 - Taxes on corporate income,"Taxes on corporate income (R04), strict variant, millions of national currency."
strict_FRA.csv,R05 - Other current taxes and capital taxes,"Other current taxes and capital taxes (R05), strict variant, millions of national currency."
strict_FRA.csv,R06 - Net social contributions,"Net social contributions (R06), strict variant, millions of national currency."
strict_FRA.csv,R06_E - Employers' actual social contributions,"Employers' actual social contributions (R06_E, ESA D.611)."
strict_FRA.csv,R06_H - Households' actual social contributions,"Households' actual social contributions (R06_H, ESA D.613): employees, self-employed and non-employed persons."
strict_FRA.csv,R06_X - Imputed and supplementary social contributions (D.612 + D.614 - D.61SC),"Imputed and supplementary social contributions (R06_X): the identity R06 - R06_E - R06_H = D.612 + D.614 - D.61SC, never forecast; may be negative in principle."
strict_FRA.csv,R07 - Interest receivable,"Interest receivable (R07), strict variant, millions of national currency."
strict_FRA.csv,R08 - Other property income,"Other property income (R08), strict variant, millions of national currency."
strict_FRA.csv,R09 - Sales of goods and services,"Sales of goods and services (R09), strict variant, millions of national currency."
strict_FRA.csv,R10 - Other current and capital transfers receivable,"Other current and capital transfers receivable (R10), strict variant, millions of national currency."
strict_FRA.csv,TR - Total revenue,Total revenue (TR) from the ESA tree's revenue anchor. Not the same series as LEDGER_TR — see that column.
strict_FRA.csv,LEDGER_TR - Total revenue (balance anchor),Total revenue as published by the balance anchor. For GBR this is a different ONS table from the TR column and the two differ by up to ~0.5%; for FRA/DEU they agree to rounding. Outturn years only.
strict_FRA.csv,LEDGER_TE - Total expenditure (balance anchor),Total expenditure as published by the balance anchor. Same caveat as LEDGER_TR against the TE column.
strict_FRA.csv,NLB - Net lending (+) / net borrowing (-),Net lending (+) / net borrowing (-) = LEDGER_TR - LEDGER_TE (ESA B.9). Outturn years only.
strict_FRA.csv,NI - Net interest (GF01_7 - R07),Net interest = GF01_7 - R07. Blank where one leg has no value.
strict_FRA.csv,PB - Primary balance (NLB + NI),Primary balance = NLB + NI. Outturn years only.
strict_DEU.csv,year,Calendar year. One row per year from the country's first published year to the last year any strict series reaches.
strict_DEU.csv,GDP - Gross domestic product at current market prices,"Gross domestic product at current market prices, from the country's registered GDP source. Divide by it for ratios."
strict_DEU.csv,GF01 - General public services,"General public services (GF01), strict variant, millions of national currency."
strict_DEU.csv,GF01_7 - Public debt transactions (interest),"Public debt transactions (interest) (GF01_7), strict variant, millions of national currency."
strict_DEU.csv,GF01_X - General public services excluding interest,"General public services excluding interest (GF01_X): the identity GF01 - GF01_7, never forecast (D10)."
strict_DEU.csv,GF02 - Defence,"Defence (GF02), strict variant, millions of national currency."
strict_DEU.csv,GF03 - Public order and safety,"Public order and safety (GF03), strict variant, millions of national currency."
strict_DEU.csv,GF04 - Economic affairs,"Economic affairs (GF04), strict variant, millions of national currency."
strict_DEU.csv,GF04_5 - Transport,Transport (GF04_5): COFOG group 04.5 from the anchor's own Level II table.
strict_DEU.csv,GF04_X - Economic affairs excluding transport,"Economic affairs excluding transport (GF04_X): the identity GF04 - GF04_5, never forecast."
strict_DEU.csv,GF05 - Environmental protection,"Environmental protection (GF05), strict variant, millions of national currency."
strict_DEU.csv,GF06 - Housing and community amenities,"Housing and community amenities (GF06), strict variant, millions of national currency."
strict_DEU.csv,GF07 - Health,"Health (GF07), strict variant, millions of national currency."
strict_DEU.csv,GF08 - Recreation culture and religion,"Recreation culture and religion (GF08), strict variant, millions of national currency."
strict_DEU.csv,GF09 - Education,"Education (GF09), strict variant, millions of national currency."
strict_DEU.csv,GF10 - Social protection,"Social protection (GF10), strict variant, millions of national currency."
strict_DEU.csv,GF10_2 - Old age (pensions),Old age (GF10_2): COFOG group 10.2 from the anchor's own Level II table — the pensions line (old-age cash benefits plus the administration and in-kind services of the function).
strict_DEU.csv,GF10_5 - Unemployment,"Unemployment (GF10_5): COFOG group 10.5 from the anchor's own Level II table — unemployment benefits and services. Note the UK books Universal Credit under 10.7, so its 10.5 is small."
strict_DEU.csv,GF10_X - Social protection excluding old age and unemployment,"Social protection excluding old age and unemployment (GF10_X): the identity GF10 - GF10_2 - GF10_5, never forecast."
strict_DEU.csv,TE - Total expenditure,Total expenditure (TE) from the COFOG tree's expenditure anchor. Not the same series as LEDGER_TE — see that column.
strict_DEU.csv,E01 - Compensation of employees,"Compensation of employees (E01), strict variant, millions of national currency."
strict_DEU.csv,E02 - Intermediate consumption,"Intermediate consumption (E02), strict variant, millions of national currency."
strict_DEU.csv,E03 - Social benefits other than social transfers in kind,"Social benefits other than social transfers in kind (E03, ESA D.62): cash benefits — pensions, unemployment, family, sickness and other benefits — across every function. The economic-type counterpart of the COFOG GF10 line."
strict_DEU.csv,E04 - Social transfers in kind (purchased market production),"Social transfers in kind (purchased market production) (E04), strict variant, millions of national currency."
strict_DEU.csv,E05 - Interest payable,"Interest payable (E05, ESA D.41 uses): the economic-type counterpart of GF01_7 (COFOG 01.7); the two differ by FISIM and consolidation treatment (V21)."
strict_DEU.csv,E06 - Subsidies,"Subsidies (E06), strict variant, millions of national currency."
strict_DEU.csv,E07 - Other current expenditure,"Other current expenditure (E07), strict variant, millions of national currency."
strict_DEU.csv,E08 - Gross capital formation and net acquisition of non-produced assets,"Gross capital formation and net acquisition of non-produced assets (E08), strict variant, millions of national currency."
strict_DEU.csv,E09 - Capital transfers payable,"Capital transfers payable (E09), strict variant, millions of national currency."
strict_DEU.csv,TE_ESA - Total expenditure (ESA main aggregates),"Total expenditure from the ESA main-aggregates table (the sum of E01-E09). For FRA/DEU identical to TE; for GBR it is the ESA Table 2 total, the same series as LEDGER_TE."
strict_DEU.csv,R01 - Value added tax,"Value added tax (R01), strict variant, millions of national currency."
strict_DEU.csv,R02 - Other taxes on production and imports,"Other taxes on production and imports (R02), strict variant, millions of national currency."
strict_DEU.csv,R02_A - Excise duties,"Excise duties (R02_A, ESA D.214A): fuel, tobacco, alcohol and other excises, from the anchor institution's per-tax table (NTL table 9 / gov_10a_taxag)."
strict_DEU.csv,R02_X - Other taxes on production and imports excluding excise duties,"Other taxes on production and imports excluding excise duties (R02_X): the identity R02 - R02_A, never forecast; carries any drift between the per-tax table and the main aggregate."
strict_DEU.csv,R03 - Taxes on household income,"Taxes on household income (R03), strict variant, millions of national currency."
strict_DEU.csv,R04 - Taxes on corporate income,"Taxes on corporate income (R04), strict variant, millions of national currency."
strict_DEU.csv,R05 - Other current taxes and capital taxes,"Other current taxes and capital taxes (R05), strict variant, millions of national currency."
strict_DEU.csv,R06 - Net social contributions,"Net social contributions (R06), strict variant, millions of national currency."
strict_DEU.csv,R06_E - Employers' actual social contributions,"Employers' actual social contributions (R06_E, ESA D.611)."
strict_DEU.csv,R06_H - Households' actual social contributions,"Households' actual social contributions (R06_H, ESA D.613): employees, self-employed and non-employed persons."
strict_DEU.csv,R06_X - Imputed and supplementary social contributions (D.612 + D.614 - D.61SC),"Imputed and supplementary social contributions (R06_X): the identity R06 - R06_E - R06_H = D.612 + D.614 - D.61SC, never forecast; may be negative in principle."
strict_DEU.csv,R07 - Interest receivable,"Interest receivable (R07), strict variant, millions of national currency."
strict_DEU.csv,R08 - Other property income,"Other property income (R08), strict variant, millions of national currency."
strict_DEU.csv,R09 - Sales of goods and services,"Sales of goods and services (R09), strict variant, millions of national currency."
strict_DEU.csv,R10 - Other current and capital transfers receivable,"Other current and capital transfers receivable (R10), strict variant, millions of national currency."
strict_DEU.csv,TR - Total revenue,Total revenue (TR) from the ESA tree's revenue anchor. Not the same series as LEDGER_TR — see that column.
strict_DEU.csv,LEDGER_TR - Total revenue (balance anchor),Total revenue as published by the balance anchor. For GBR this is a different ONS table from the TR column and the two differ by up to ~0.5%; for FRA/DEU they agree to rounding. Outturn years only.
strict_DEU.csv,LEDGER_TE - Total expenditure (balance anchor),Total expenditure as published by the balance anchor. Same caveat as LEDGER_TR against the TE column.
strict_DEU.csv,NLB - Net lending (+) / net borrowing (-),Net lending (+) / net borrowing (-) = LEDGER_TR - LEDGER_TE (ESA B.9). Outturn years only.
strict_DEU.csv,NI - Net interest (GF01_7 - R07),Net interest = GF01_7 - R07. Blank where one leg has no value.
strict_DEU.csv,PB - Primary balance (NLB + NI),Primary balance = NLB + NI. Outturn years only.
debt_reference_series.csv,run_id,Build run that produced the row (data/manifest/run_{run_id}.json).
debt_reference_series.csv,series_id,"Reference series id (DEBT_KICKOFF.md §4.2), e.g. UK_RPI, FR_CPI_XT, EA_HICP_XT, UK_SONIA, EA_MM_3M, UK_GLC_NOMINAL_10Y."
debt_reference_series.csv,date,Observation date (month start for monthly indices; the fixing date for daily rates; month-end for curves).
debt_reference_series.csv,value,Observation in `unit`.
debt_reference_series.csv,unit,index | pct_pa.
debt_reference_series.csv,base_period,"Index base (e.g. 1987-01=100, 2025=100); empty for rates."
debt_reference_series.csv,vintage_note,"How the series was built (splice, chaining factor, geography)."
debt_reference_series.csv,source_id,"Register id of the source (config/debt_sources.yaml), or the module that derived the row."
debt_reference_series.csv,snapshot_sha256,sha256 of the raw snapshot the value was read from (D8); empty for derived rows.
debt_reference_series.csv,quality_grade,"A–D per DEBT_KICKOFF.md §9; official rows A, aggregate-layer and derived rows B, declared items C, blocked D."
debt_reference_series.csv,notes,"Free-text provenance: table, row, conversion, caveat."
debt_official_totals.csv,run_id,Build run that produced the row (data/manifest/run_{run_id}.json).
debt_official_totals.csv,iso3,"Country: GBR, FRA, DEU."
debt_official_totals.csv,year,Calendar year (DD6).
debt_official_totals.csv,chain,interest | financing.
debt_official_totals.csv,step,A_cg_cash / B_s1311_d41 / C_s13_gf01_7 (interest); A_cg_cash_requirement / B_s1311_b9 / C_s13_nlb (financing).
debt_official_totals.csv,value_lcu_mn,"The official total, millions of national currency; null where the source is unreachable (OQ-8) or the year is not covered."
debt_official_totals.csv,item_source_id,"Source of the total (register id, or package_GF01_7 / package_NLB for step C)."
debt_official_totals.csv,basis,"Accounting basis of the total as published: cash, accrued, accrued_nlf_finance_costs, cash_budgetaire."
debt_official_totals.csv,period_basis,"CY, FY or M: the source's native period before conversion."
debt_official_totals.csv,period_conversion_method,"How a non-calendar-year source was converted (§7.10 formula, or 'sum of 12 calendar months'); empty when none."
debt_official_totals.csv,snapshot_sha256,sha256 of the raw snapshot the value was read from (D8); empty for derived rows.
debt_official_totals.csv,quality_grade,"A–D per DEBT_KICKOFF.md §9; official rows A, aggregate-layer and derived rows B, declared items C, blocked D."
debt_official_totals.csv,notes,"Free-text provenance: table, row, conversion, caveat."
debt_class_aggregates.csv,run_id,Build run that produced the row (data/manifest/run_{run_id}.json).
debt_class_aggregates.csv,iso3,"Country: GBR, FRA, DEU."
debt_class_aggregates.csv,year,Calendar year (DD6).
debt_class_aggregates.csv,instrument_class,"DD2 class (fixed_bullet, floating, inflation_linked, bill, other), or mixed where the source does not split, or out_of_register for the source's rows outside DD1 (loans, retail, special funds)."
debt_class_aggregates.csv,sub_type,"The source's own instrument or fund label, slugged."
debt_class_aggregates.csv,measure,stock_year_end | stock_gross_umlauf | own_holdings | gross_issuance | redemptions | net_issuance | interest | uplift_accrued.
debt_class_aggregates.csv,value_lcu_mn,"Value, millions of national currency; interest and redemptions positive."
debt_class_aggregates.csv,basis,"nominal, cash, accrued, nominal_change, … as the source publishes it."
debt_class_aggregates.csv,in_register,True when the row is inside the DD1 perimeter and enters the register step of the chains.
debt_class_aggregates.csv,source_id,"Register id of the source (config/debt_sources.yaml), or the module that derived the row."
debt_class_aggregates.csv,snapshot_sha256,sha256 of the raw snapshot the value was read from (D8); empty for derived rows.
debt_class_aggregates.csv,quality_grade,"A–D per DEBT_KICKOFF.md §9; official rows A, aggregate-layer and derived rows B, declared items C, blocked D."
debt_class_aggregates.csv,notes,"Free-text provenance: table, row, conversion, caveat."
debt_interest_reconciliation.csv,iso3,"Country: GBR, FRA, DEU."
debt_interest_reconciliation.csv,year,Calendar year (DD6).
debt_interest_reconciliation.csv,step,register → A_cg_cash → B_s1311_d41 → C_s13_gf01_7.
debt_interest_reconciliation.csv,item,sum_{class} at the register step; carried_from_previous_step; the named bridge items; official_total; residual.
debt_interest_reconciliation.csv,value_lcu_mn,Millions of national currency; null where the total is unknown (blocked source or no register).
debt_interest_reconciliation.csv,item_type,computed | official | declared | residual.
debt_interest_reconciliation.csv,item_source_id,Where the item comes from.
debt_interest_reconciliation.csv,basis,"Accounting basis of the item (cash, accrued, nominal)."
debt_interest_reconciliation.csv,run_id,Build run that produced the row (data/manifest/run_{run_id}.json).
debt_interest_reconciliation.csv,source_id,"Register id of the source (config/debt_sources.yaml), or the module that derived the row."
debt_interest_reconciliation.csv,snapshot_sha256,sha256 of the raw snapshot the value was read from (D8); empty for derived rows.
debt_interest_reconciliation.csv,quality_grade,"A–D per DEBT_KICKOFF.md §9; official rows A, aggregate-layer and derived rows B, declared items C, blocked D."
debt_interest_reconciliation.csv,notes,"Free-text provenance: table, row, conversion, caveat."
debt_financing_reconciliation.csv,iso3,"Country: GBR, FRA, DEU."
debt_financing_reconciliation.csv,year,Calendar year (DD6).
debt_financing_reconciliation.csv,step,register → A_cg_cash_requirement → B_s1311_b9 → C_s13_nlb.
debt_financing_reconciliation.csv,item,"sum_{class} net issuance at the register step; carried_from_previous_step; the named bridge items (out-of-register instruments, less_special_fund…, nka_3_x… from the Kreditaufnahmebericht, subsector B.9); official_total; residual."
debt_financing_reconciliation.csv,value_lcu_mn,Millions of national currency; null where the total is unknown (blocked source or no register).
debt_financing_reconciliation.csv,item_type,computed | official | declared | residual.
debt_financing_reconciliation.csv,item_source_id,Where the item comes from.
debt_financing_reconciliation.csv,basis,"Accounting basis of the item (cash, accrued, nominal)."
debt_financing_reconciliation.csv,run_id,Build run that produced the row (data/manifest/run_{run_id}.json).
debt_financing_reconciliation.csv,source_id,"Register id of the source (config/debt_sources.yaml), or the module that derived the row."
debt_financing_reconciliation.csv,snapshot_sha256,sha256 of the raw snapshot the value was read from (D8); empty for derived rows.
debt_financing_reconciliation.csv,quality_grade,"A–D per DEBT_KICKOFF.md §9; official rows A, aggregate-layer and derived rows B, declared items C, blocked D."
debt_financing_reconciliation.csv,notes,"Free-text provenance: table, row, conversion, caveat."
debt_securities.csv,iso3,"Country: GBR, FRA, DEU."
debt_securities.csv,security_id,"ISIN, or {iso3}_{office code} for pre-ISIN securities."
debt_securities.csv,isin,ISIN where one exists.
debt_securities.csv,name,Name as published by the office.
debt_securities.csv,instrument_class,DD2: fixed_bullet | floating | inflation_linked | bill | other.
debt_securities.csv,sub_type,National instrument name (config/debt.yaml sub_types).
debt_securities.csv,currency,Currency of issue (ISO code).
debt_securities.csv,coupon_pct,"Annual coupon, %; null for bills and floaters."
debt_securities.csv,coupon_frequency,Number of coupon payments per year.
debt_securities.csv,day_count,Day-count / accrual convention.
debt_securities.csv,first_issue_date,First issue (settlement) date.
debt_securities.csv,maturity_date,Final redemption date; null for undated.
debt_securities.csv,first_call_date,First call date for callable/double-dated securities.
debt_securities.csv,dividend_dates,"Coupon dates, e.g. '22 Apr/Oct'."
debt_securities.csv,index_reference,Reference index id for linkers (§4.2).
debt_securities.csv,index_lag_months,Indexation lag in months.
debt_securities.csv,base_index,Base index value of the linker.
debt_securities.csv,floating_reference,Reference rate id for floaters.
debt_securities.csv,spread_bp,"Spread over the reference rate, basis points."
debt_securities.csv,is_green,True for green bonds and green twins.
debt_securities.csv,issuer_unit,"state, or special_fund:{name}."
debt_securities.csv,run_id,Build run that produced the row (data/manifest/run_{run_id}.json).
debt_securities.csv,source_id,"Register id of the source (config/debt_sources.yaml), or the module that derived the row."
debt_securities.csv,snapshot_sha256,sha256 of the raw snapshot the value was read from (D8); empty for derived rows.
debt_securities.csv,quality_grade,"A–D per DEBT_KICKOFF.md §9; official rows A, aggregate-layer and derived rows B, declared items C, blocked D."
